,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
4581,2020,15,sainz,sainz,55,15,5,5,10,57,+11.787,10799302,46,,Finished,1:33.411
4582,2020,15,gasly,gasly,10,8,6,6,8,57,+11.942,10799457,48,,Finished,1:34.817
4583,2020,15,ricciardo,ricciardo,3,6,7,7,6,57,+19.368,10806883,38,,Finished,1:32.827
4584,2020,15,bottas,bottas,77,2,8,8,4,57,+19.680,10807195,28,,Finished,1:33.352
4585,2020,15,ocon,ocon,31,7,9,9,2,57,+22.803,10810318,37,,Finished,1:34.354
4586,2020,15,leclerc,leclerc,16,12,10,10,1,56,,,44,,+1 Lap,1:33.625
4587,2020,15,kvyat,kvyat,26,10,11,11,0,56,,,35,,+1 Lap,1:34.141
4588,2020,15,russell,russell,63,14,12,12,0,56,,,47,,+1 Lap,1:35.042
4589,2020,15,vettel,vettel,5,11,13,13,0,56,,,41,,+1 Lap,1:33.861
4590,2020,15,latifi,latifi,6,20,14,14,0,56,,,39,,+1 Lap,1:34.591
4591,2020,15,raikkonen,raikkonen,7,17,15,15,0,56,,,43,,+1 Lap,1:33.573
4592,2020,15,giovinazzi,giovinazzi,99,16,16,16,0,56,,,22,,+1 Lap,1:34.536
4593,2020,15,kevin_magnussen,kevin_magnussen,20,18,17,17,0,56,,,29,,+1 Lap,1:35.241
4594,2020,15,perez,perez,11,5,18,18,0,53,,,40,,Engine,1:33.629
4595,2020,15,stroll,stroll,18,13,19,R,0,2,,,,,Collision,
4596,2020,15,grosjean,grosjean,8,19,20,R,0,0,,,,,Collision,
